titolo libro;n° copie;costo;data di uscita
1984;14;47.71;28/07/2022
Il signore degli anelli;71;45.67;25/01/2024
Orgoglio e pregiudizio;159;29.99;01/03/2025
Il giovane Holden;50;27.26;25/01/2018
Il nome della rosa;77;39.47;15/05/2020
Cent'anni di solitudine;25;15.25;18/11/2022
Moby Dick;3;22.06;02/03/2019
Guerra e pace;52;47.56;05/11/2021
Delitto e castigo;6;48.52;13/04/2025
Il grande Gatsby;83;21.78;10/06/2021
Cime tempestose;13;49.79;21/10/2019
Anna Karenina;148;7.9;06/12/2020
Il barone rampante;99;35.23;27/04/2019
Fahrenheit 451;27;5.18;07/03/2024
La metamorfosi;151;27.23;22/10/2023
Don Chisciotte;5;21.13;17/03/2021
Ulisse;3;32.87;17/09/2022
Il vecchio e il mare;8;31.25;13/06/2018
Sulla strada;183;11.07;10/11/2025
Cronache marziane;24;37.67;08/05/2019
Le avventure di Huckleberry Finn;154;15.0;21/06/2020
Il ritratto di Dorian Gray;133;8.49;01/05/2023
Il processo;132;40.45;06/02/2018
Il gattopardo;115;24.54;03/03/2019
La storia infinita;129;15.22;24/07/2025
Dracula;129;23.57;02/03/2018
Frankenstein;129;17.66;21/09/2019
Harry Potter e la pietra filosofale;121;23.78;26/07/2019
Il codice da Vinci;135;47.1;05/01/2020
Shining;173;35.09;22/08/2020
It;108;37.67;21/06/2019
Il piccolo principe;119;11.82;02/08/2020
Il buio oltre la siepe;124;42.67;08/10/2024
La fattoria degli animali;53;5.68;15/03/2021
Norwegian Wood;7;44.56;13/07/2024
American Gods;76;41.1;10/05/2025
Il cacciatore di aquiloni;122;23.72;27/01/2025
Il diario di Anna Frank;6;28.31;22/03/2018
Il profumo;55;36.11;29/01/2023
Il conte di Montecristo;120;11.59;18/12/2021
Sherlock Holmes: Il mastino dei Baskerville;40;39.57;15/09/2018
La ragazza con l'orecchino di perla;52;9.67;09/08/2024
Il pendolo di Foucault;123;21.19;06/10/2024
Il signore delle mosche;195;28.25;09/10/2022
Oceano mare;187;40.06;22/11/2020
Siddharta;119;49.75;20/09/2022
Il deserto dei tartari;88;11.74;01/11/2023
Il visconte dimezzato;33;33.69;13/08/2019
Il mare delle illusioni;114;12.16;10/07/2020
Il giardino segreto;108;46.65;23/04/2019
